age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
44,1,5,1975,80.0,class FemaleRealTalent,A,160.0,84.0,古川あおい,58.0,45.0,
27,20,4,1992,85.0,class FemaleRealTalent,C,174.0,85.0,赤宮彩咲,60.0,42.0,
31,6,3,1988,91.0,class FemaleRealTalent,E,157.0,90.0,ヘレン・デ・ムーロ,60.0,50.0,
32,2,5,1987,96.0,class FemaleRealTalent,F,157.0,89.0,セクシー・コーラ,56.0,47.0,
30,30,5,1989,85.0,class FemaleRealTalent,D,160.0,89.0,五十嵐マリア,60.0,50.0,
28,20,1,1992,78.0,class FemaleRealTalent,B,163.0,81.0,釘町みやび,58.0,45.0,
24,17,6,1995,83.0,class FemaleRealTalent,D,156.0,95.0,樹さくら,58.0,45.0,
36,30,3,1983,89.0,class FemaleRealTalent,D,162.0,89.0,ケイティ・フェイ,64.0,50.0,
33,10,12,1986,81.0,class FemaleRealTalent,C,153.0,88.0,新田恵海,60.0,40.0,
33,28,6,1986,80.0,class FemaleRealTalent,C,160.0,86.0,三森すずこ,58.0,45.0,
31,2,5,1988,86.0,class FemaleRealTalent,F,158.0,87.0,Pile,60.0,40.0,
30,26,12,1989,82.0,class FemaleRealTalent,C,159.0,82.0,徳井青空,56.0,40.0,
16,3,8,,78.0,class FemaleAnimeTalent,B,157.0,82.0,高坂穂乃果,58.0,47.2,新田恵海
16,15,3,,76.0,class FemaleAnimeTalent,A,159.0,80.0,園田海未,58.0,46.7,三森すずこ
15,19,4,,78.0,class FemaleAnimeTalent,B,161.0,83.0,西木野真姫,56.0,47.7,Pile
17,22,7,,74.0,class FemaleAnimeTalent,A,154.0,79.0,矢澤にこ,57.0,44.5,徳井青空
